	ART_C_PROD_NUMBER	ART_V_ART_DESCRIPTION
50867	342774	342774.3 Applaws Adult Huhn Kleine & Mittelgroße Rassen - 7,5 kg
50891	204623	204623.0 Dirt Devil Fellino Tierhaar Mini-Turbobürste M219 - Aufsteckbürste
50898	573333	573333.0 Cat Mate Katzenklappe mit Zeitsteuerung - Katzenklappe weiß
50904	468728	468728.1 Sparpaket Wolf of Wilderness Adult 12 x 800 g - Mix: Lamm, Ente, Wildschwein, Rentier
50910	45572	45572.8 Eukanuba Adult Breed Specific Boxer - Sparpaket: 2 x 12 kg
50918	443371	443371.0 zoolove Trio di Carne - 6 x 800 g
50919	584978	584978.14 5 + 1 gratis! GranataPet DeliCatessen 6 x 400 g - Lachs & Pute
50927	461631	461631.0 2 + 1 gratis! Spot'n Go Zeckenschutzmittel für Katzen - 6 Ampullen x 1,0 ml
50956	542502	542502.17 Happy Dog Supreme + Tasty Toscana Sticks gratis! - Fit & Well Light 2 - Low Fat (12,5 kg)
50986	462245	462245.4 Sparpaket Barkoo Kauknochen geknotet mit Sesam 6 / 12 Stück - 6 St. je 16 cm (660 g)
51007	601829	601829.6 20 + 4 gratis! 24 x 150 g Cesar - Landküche
51030	558326	558326.97 15 kg + 3 kg gratis! Eukanuba Trockenfutter - Puppy Medium Breed Huhn - NICHT FREISCHALTEN
51032	339492	339492.0 Rosewood Indoor Agility Tunnel - Set: L 100 x B 40 x H 40 cm
51035	592343	592343.0 Animonda Integra Protect Adipositas Trockenfutter - 4 kg
51061	348572	348572.4 Sparset Hundehütte Spike Komfort mit Isolierung und Tür - Set Größe S: B 72 x T 76 x H 76 cm
51081	583562	583562.1 Sparpaket Rocco Senior 12 x 800 g - Lamm & Hirse
51086	514800	514800.1 Wildsterne Breed Selection Boxer - 10 kg
51104	477149	477149.1 KONG Classic L - Für Ihre Bonuspunkte!
51105	199750	199750.2 Ochsenschwanz  ca. 12 cm - 150 g
51114	126040	126040.0 Trixie Biker-Set de Luxe - Fahrradhalter
51122	599666	599666.4 11 + 1 gratis! 12 x 300 g  Alpha Natural Feinschmeckermenü - Feinschmeckermenü Wild
51129	562578	562578.5 Julius-K9 IDC®-Powergeschirr - neon grün - Größe 1: Brustumfang 63 - 85 cm
51155	400469	400469.0 Feringa Adult Ente - 400 g
51162	441109	441109.1 RINTI Canine Intestinal - 12 kg
51163	507892	507892.0 Sparpaket Pro Plan 12 x 85 g - Sterilised Huhn
51176	579533	579533.4 Sparpaket zooplus Classic 24 x 800 g - Mix: Huhn, Rind & Wild
51195	478267	478267.5 5 + 1 gratis! 6 x 800 g Wolf of Wilderness Adult/ Junior/ Senior - Adult Green Fields - Lamm
51215	369948	369948.4 5 + 1 gratis! 6 x 200 g catz finefood Dose - Lamm & Kaninchen
51229	11426	11426.3 Pro Plan Sterilised reich an Lachs - 3 kg
51237	569479	569479.3 6 x 85 g Royal Canin Sterilised in Soße - Für Ihre Bonuspunkte!
51253	497318	497318.1 Concept for Life All Cats - 3 kg
51258	443295	443295.2 Briantos Adult Lamm & Reis - 800 g - günstig probieren!
51259	599666	599666.1 11 + 1 gratis! 12 x 300 g  Alpha Natural Feinschmeckermenü - Feinschmeckermenü Mix Paket
51261	199695	199695.4 Rindernasen - 3 x 500 g
51288	555477	555477.1 Rinti Singlefleisch 6 x 800 g - Huhn pur
51307	264003	264003.105 Sparpaket Eukanuba 2 x Großgebinde - Adult Breed Specific Boxer (2 x 12 kg)
51312	595963	595963.0 Acana Wild Coast - 2 kg
51313	595962	595962.2 Acana Prairie Poultry - 11,4 kg
51324	555477	555477.3 Rinti Singlefleisch 6 x 800 g - Rind pur
51325	522446	522446.0 Fleischeslust Classic getreidefrei 6 x 850 g - Rindermenü mit Pansen
51339	172468	172468.8 Gemischte Sparpaket Cosma Glory in Gelee 24 x 85 g - Hühnchen mit Wachtelei, Thunfischkaviar und Shrimps
51342	365306	365306.10 Acana Regionals Ranchlands - 2,27 kg
51350	98859	98859.17 Set Schermaschine Moser max45 (Type 1245) inklusive 2 Aufsteckkämme! - Ersatzscherkopf 5 mm
51351	98859	98859.16 Set Schermaschine Moser max45 (Type 1245) inklusive 2 Aufsteckkämme! - Ersatzscherkopf 3 mm
51361	7344	7344.21 Royal Canin Light Weight Care - 10 + 2 kg gratis!
51370	30125	30125.9 Feline Porta 21 Katzenfutter 6 x 400 g - Thunfisch mit Shrimps
51380	261656	261656.7 Royal Canin Maltese Adult - 1,5 kg
51383	566121	566121.5 20 + 4 gratis! 24 x 200 g Grau Schlemmertöpfchen - Getreidefrei Huhn & Kalb
51384	566121	566121.6 20 + 4 gratis! 24 x 200 g Grau Schlemmertöpfchen - Getreidefrei Kaninchen, Rind & Ente
51399	611134	611134.0 Whiskas Junior Lachs - 800 g
51415	600699	600699.3 6 x 156 g Feline Porta 21 Katzenfutter + Katzenspielzeug Wollmaus gratis! - Thunfisch mit Aloe (getreidefrei)
51450	434775	434775.7 Lukullus Naturkost Einzeldose 1 x 400 g - Kaninchen & Wild
51488	562578	562578.2 Julius-K9 IDC®-Powergeschirr - neon grün - Größe Mini Mini: Brustumfang 40 - 53 cm
51495	464834	"464834.2 Wolf of Wilderness Adult ""Sunny Glade"" - Hirsch - 4 kg"
51496	434775	434775.5 Lukullus Naturkost Einzeldose 1 x 400 g - Geflügel & Lamm
51497	434775	434775.6 Lukullus Naturkost Einzeldose 1 x 400 g - Putenherzen & Gans
51504	152566	152566.6 Lukullus Putenherzen & Gans - 6 x 400 g
51513	388648	388648.2 Sparpaket Leonardo Finest Selection Pouch 24 x 85 g - Fisch & Shrimps
51559	577097	577097.4 Concept for Life Hundetrockennahrung im Bonusbag - Large Senior (12 kg + 3 kg gratis!)
51582	571278	571278.81 Royal Canin Size + Hundespielzeug Geier Gustav gratis! - Health Nutrition Dermacomfort Maxi (12 kg)
51590	413300	413300.2 Kitekat mit Huhn & Gemüse - Sparpaket: 6 x 900 g
51610	605354	605354.0 96 x 85 g Sheba Varietäten Schälchen zum Sonderpreis - Sauce Specialé
51613	561759	561759.0 Mixpaket Gourmet Gold Vielfalt 48 x 85 g - Zarte Häppchen
51635	378673	378673.13 Großgebinde Happy Dog Supreme + Plüsch-Geier gratis! - Africa (12,5 kg)
51653	561759	561759.2 Mixpaket Gourmet Gold Vielfalt 48 x 85 g - Feine Komposition
51660	584305	584305.1 1 + 1 gratis! 2 x 1,5 kg Concept for Life Light Hundefutter - Medium Light
51679	437685	437685.1 Smilla Probierpaket: Trocken- und Nassnahrung + Paste - Set 2: mit Multi-Vitamin-Paste 2,4 kg
51683	516403	516403.1 Sparpaket O´Canis for Cats 24 x 400 g - Pute, Wachtel & Lachsöl
51685	348568	348568.6 Applaws Cat Patè 10 x 100 g - Lachs
51698	551654	551654.3 15 / 12,5 kg Belcando + 1 kg gratis! - Adult Lamm & Reis (16 kg)
51706	588574	588574.10 10 + 2 gratis! 12 kg GranataPet DeliCatessen Adult & Kitten - Adult Lachs
51708	587260	587260.13 2 kg Sanabelle Trockenfutter + Corwex Filet-Stick gratis! - Adult mit Strauß
51716	373637	373637.0 Biokat´s Duo Active Fresh - 14 l
51727	402577	402577.0 Beneful Kleine Leckerbissen - 1,4 kg
51746	10039	10039.1 Sparpaket Miamor Pastete 12 x 85 g - Kaninchen
51756	553712	553712.21 Sparpaket Schesir in Brühe 24 x 70 g - Mixpaket (3 Sorten)
51769	337507	337507.3 Sparpaket Lukullus Junior 24 x 400 g - Putenherzen & Lamm
51773	190522	190522.1 Raindrop Trinkbrunnen aus Edelstahl, 1,7 Liter - Ersatzfilter (3 Stück)
51780	60941	60941.1 Happy Dog Supreme Mini Baby & Junior - 4 kg
51796	137079	137079.1 Hunter Fressnapf aus Edelstahl - 550 ml, Ø 13 cm
51799	602398	602398.4 400 g Kattovit Trockenfutter Spezialdiät zum Sonderpreis! - Urinary mit Huhn
51814	554247	554247.6 2-fach Bonuspunkte: Feringa Menü Duo-Sorten 24 x 400 g - Lamm & Kaninchen
51817	554247	554247.3 2-fach Bonuspunkte: Feringa Menü Duo-Sorten 24 x 400 g - Kaninchen & Truthahn
51838	519192	519192.8 Sparpaket Kattovit 2 x 4 kg - Urinary mit Thunfisch
51858	560530	560530.2 Vitakraft Poesie 15 x 85 g - Seelachs mit Pasta & Tomate in Sauce
51868	580879	580879.0 Green Petfood InsectDog hypoallergen - 2 kg
51870	347636	347636.22 Sparpaket Almo Nature Legend 48 x 70 g - Hühnerschenkel (alt- NICHT AKTIVIEREN)
51873	232783	232783.23 Sparpaket Royal Canin 24 x 85 g - Digest Sensitive in Soße
51878	13054	13054.5 Terra Canis 6 x 400 g - Huhn mit Tomaten, Amaranth und Basilikum
51879	10039	10039.25 Sparpaket Miamor Pastete 12 x 85 g - Mix II, 2 Sorten Huhn & Kaninchen
51921	478586	478586.4 Sparpaket Rinti Gold Mini 24 x 100 g - Hirsch & Rind
51923	562614	562614.5 Julius-K9 IDC®-Powergeschirr - pink - Größe 1: Brustumfang 63 - 85 cm
51932	324089	324089.2 Sparpaket Terra Canis Light 12 x 400 g - Wild mit Gurke, Pfirsich und Löwenzahn
51935	478586	478586.2 Sparpaket Rinti Gold Mini 24 x 100 g - Rind & Perlhuhn
51939	232783	232783.38 Sparpaket Royal Canin 24 x 85 g - Breed British Shorthair
51956	478586	478586.5 Sparpaket Rinti Gold Mini 24 x 100 g - Ente & Geflügel
51990	5551	5551.4 Hill's Science Plan Mature Adult 7+ Active Longevity Medium mit Lamm & Reis - 12 kg
51994	585236	585236.0 Herrmanns Bio Ergänzungsfutter Gemüsetopf 6 x 400 g - 6 x 400 g
52001	7391	7391.6 Kitekat Frischebeutel 12 x 100 g - Markt-Mix in Gelee
52008	456455	456455.1 Lukullus Welpenpaket zum Sonderpreis - 1,5 kg + 6 x 400 g Huhn & Kalb
52013	515807	515807.7 Sparpaket MAC´s Cat 24 x 200 g - Mix Geflügel/Cranberry, Ente/Pute/Huhn
52062	4953	4953.6 Hill's Science Plan Kitten Healthy Development Huhn - 400 g
52106	590861	590861.0 Markus-Mühle NaturNahfutter Mini - 5 kg
52127	4918	4918.1 Royal Canin Special Club Performance Junior - 15 kg
52146	512084	512084.1 Probierpreis: 1 kg Wolf of Wilderness Adult/ Junior/ Senior - Adult Wild Hills - Ente
52179	4956	4956.1 Hill's Science Plan Adult 1-6 Optimal Care Huhn - 5 kg
52203	275917	275917.0 Thrive  ProReward Snacks gefriergetrocknet - 60 g
52221	257206	257206.2 Stuzzy Cat Frischebeutel 24 x 100g - Rind
52229	376353	376353.25 Sparpaket Bozita Häppchen 24 x 370 g - Soße: Kaninchen
52235	8806	8806.15 Royal Canin Outdoor 30 - Sparpaket 2 x 10 kg
52242	526457	526457.2 Sparpaket Rocco Cubes 4 bzw. 12 x 150 g - Huhn mit Fisch 4 x 150 g
52275	580853	580853.5 5 + 1 gratis! 6 x 400 g O´Canis for Cats - Mixpaket (5 Sorten)
52278	599249	599249.1 400 g / 2,5 kg Purizon Trockennahrung für Katzen zum Sonderpreis - Adult Fisch 400 g
52290	5887	5887.14 Eukanuba Active Adult Medium Breed Huhn - Sparpaket: 2 x 15 kg
52294	107879	107879.10 Eukanuba Adult Breed Specific Labrador Retriever - 12 kg
52308	400617	400617.2 Orijen Snack Angus Beef Dog - 100 g
52324	334193	334193.1 3 kg + 1 kg gratis! 4 kg Meradog pure Trockenfutter - Lamm & Reis
52349	596943	596943.6 12 x 800 g zooplus Selection zum Sonderpreis! - Senior & Light Huhn
52357	542981	542981.1 Hunter Halsband Softie, himbeer - Gr. S: Halsumfang 28-34 cm
52363	470936	470936.5 2 x 1,4 kg Perfect Fit für Hauskatzen im gemischten Paket - 2 x 1,4 kg
52378	51717	51717.6 Trixie Hundemantel Tcoat Orléans - ca. 70 cm Rückenlänge (Größe XL)
52470	592325	592325.0 Animonda Integra Protect Adult Adipositas Trockenfutter - 1,2 kg
52474	425031	425031.0 Bosch Fruitees (semi-moist) - Apfel 200 g
52485	400134	400134.0 KONG Squeezz Ball mit Griff - 1 Stück
52486	491978	491978.0 KONG Air Squeaker Buoy - 1 Stück
52499	463834	463834.3 Barkoo Kauknochen geknotet mit Spirulina ca. 12 cm - 3 St. (180 g)
52508	505595	505595.0 Nutro Natural Choice Adult Fisch - Fisch (1,5 kg)
52509	234660	234660.4 Bozita Feline in Tetra Recart Verpackung 6 x 190 g - Diet & Stomach - Sensitive
52518	158226	158226.17 Edelstahlfressnapf mit Prägung und Gummiring - Sparset: 2 x 1,8 l, Ø 27 cm
52521	482800	482800.1 proCani buy Nature Rind Pur - 24 x 1000 g
52524	564295	564295.3 Sparpaket GimCat ShinyCat Jelly 24 x 70 g - Hühnchen
52555	36177	36177.1 Cozy Hundebett Mocca - ca. L 110 x B 95 x H 20 cm
52588	282385	282385.2 Terra Canis Light 6 x 400 g - Wild mit Gurke, Pfirsich und Löwenzahn
52606	499470	499470.14 Sparpaket Leonardo 2 x Großgebinde - Adult Fisch (2 x 15 kg)
52607	542443	542443.8 15 kg Happy Dog NaturCroq + NaturCroq Snack gratis! - Natur-Croq Active
52628	407780	407780.3 Purina One Adult - Rind/Karotte 24 x 85 g
52636	269002	269002.105 Sparpaket Royal Canin 2 x Großgebinde - Labrador Retriever Adult (2 x 12 kg)
52649	605039	605039.12 12,5 kg Happy Dog Supreme + 2 x 3x10 g Tasty Sticks gratis! - Sensible Neuseeland + Neuseeland Sticks
52663	376856	376856.21 5 + 1 gratis! 6  x 800 g Lukullus Menu Gustico - Lachs mit Reis, Sellerie & Kräutern
52671	407911	407911.5 Purina One Sterilised - Truthahn/grüne Bohnen 24 x 85 g
52691	298295	298295.1 Felix KnabberMix - Strandspaß (60 g)
52706	580060	580060.2 5 + 1 gratis! 6 x 850 g Fleischeslust -  Rindermenü mit Pansen (getreidefrei )
52714	282385	282385.0 Terra Canis Light 6 x 400 g - Rind mit Kürbis, Mango und Artischoke
52717	482735	482735.1 proCani buy Nature Pferd Pur - 24 x 1000 g
52718	396128	396128.5 Purizon Sparpaket 2 x 6,5 kg - Adult Huhn & Fisch
52724	431810	431810.1 Sparpaket Almo Nature Daily Menu 24 x 85 g - Häppchen mit Forelle
52730	376350	376350.6 Sparpaket Bozita Feline Tetra Recart 24 x 190 g - gemischtes Paket I
52756	101300	101300.2 Versele-Laga Oropharma Eye Care Augenlotion - 2 x 150 ml
52803	346716	346716.9 Royal Canin Cavalier King Charles Junior - 1,5 kg NICHT AKTIVIEREN
52804	135983	135983.4 Puppy KONG - S, pink
52824	429751	429751.3 Sanabelle Kitten - Sparpaket: 2 x 10 kg
52835	307551	307551.5 Herrmann's Fleisch Pur Einzeldosen 1 x 400 g - Pferd Pur
52840	439994	439994.1 Sonderpreis: 2 kg Greenwoods Trockenfutter! - Adult Truthahn & Reis
52846	560631	560631.0 Bob Martin Sparsets - Ungezieferschutz Katze - 3 x 0,7 ml + 2 Flohhalsbänder 
52858	113289	113289.1 Rocco Bar-B-Q Sticks 12 St. (120 g) - Ente
52864	275821	275821.5 Sparpaket Almo Nature Holistic 2 x Großgebinde - Holistic Adult: Truthahn & Reis (2 x 12 kg)
52866	357004	357004.3 Sparpaket Thrive Katzensnacks 5 x 15 / 25 g - 5 x Thunfisch á 25 g
52880	1615	1615.4 GimCat Malt-Soft Katzenpaste - Sparpaket 2 x 200 g
52925	524692	524692.8 1 + 1 gratis! 2 x 400 g Concept for Life Katzentrockenfutter - Kitten
52929	555550	555550.4 Rinti Singlefleisch 1 x 800 g - Ross pur
53015	437415	437415.0 O´Canis for Cats 6 x 400 g - Huhn, Lachs & Distelöl
53045	590772	590772.3 Happy Cat Duo Häppchen auf Paté Schälchen 12 x 100 g - mit Geflügel & Rind
53092	581618	581618.24 4 kg Royal Canin + 6 x 85 g Royal Canin Nassfutter gratis! - Hairball Care + 6 x 85 g Instinctive in Soße
53101	313468	313468.1 Edelstahlnapf für Napfständer - 2,8 l, Ø 25 cm
53148	371933	371933.19 Sparpaket Herrmann's Menü Classic 12 x 400 g - Mix, 12 Sorten
53159	599249	599249.7 400 g / 2,5 kg Purizon Trockennahrung für Katzen zum Sonderpreis - Kitten Huhn & Fisch 2.5 kg
53177	479205	479205.1 Greenwoods Plant Fibre: Klumpstreu auf Pflanzenbasis 8 L - Für Ihre Bonuspunkte!
53180	88933	88933.21 Sparpaket Grau Schlemmertöpfchen Vollkorn 24 x 400 g -  Huhn & Kalb, getreidefrei
53200	10678	10678.3 PetSafe Spray Commander Erziehungshalsband - Nachfüllpatrone geruchlos 88 ml
53233	541414	541414.0 Miamor Häppchen in Jelly Pouch 12 x 85 g - Huhn in Tomatenjelly
53239	589182	589182.2 Trixie Hundemantel Prime - ca. 45 cm Rückenlänge
53243	437156	437156.2 RINTI Canine Intestinal Huhn - 12 x 400 g
53248	402202	402202.3 Smilla Schnurrtöpfchen 20 x 400 g - Pute
53251	555195	555195.17 Sparpaket Gourmet Fischer´s Delikatessen 48 x  85 g - mit Kabeljau & Zucchini
53265	600724	600724.2 16 + 3 gratis! 19 x 85 g Lily's Kitchen Schalen - Hunters Hotpot
53296	348563	348563.0 Applaws Cat Pot Probierpack  8 x 60 g - Hühnchenauswahl
53298	527848	527848.0 400 g Concept for Life Sterilised Cats - Für Ihre Bonuspunkte!
53317	135983	135983.7 Puppy KONG - M, blau
53326	443326	443326.12 5 + 1 gratis! Feringa Menü Duo-Sorten 6 x 200 g / 6  x 400 g / 6 x 800 g - Geflügel 6 x 200 g
53328	514190	514190.20 Herrmann's Menü getreidefrei 6 x 400 g - Mix, 4 Sorten
53354	9354	9354.3 Bozita Robur Light & Sensitive 19/07 - 12,5 kg
53363	482819	482819.0 proCani Rindfleisch-Geflügelknorpel - 8 x 1000 g
53367	567947	567947.1 Bosch Mini Junior - Sparpaket: 2 x 15 kg
53378	512084	512084.0 Probierpreis: 1 kg Wolf of Wilderness Adult/ Junior/ Senior - Adult Green Fields - Lamm
53384	179169	179169.1 Animonda vom Feinsten Forest 6 x 150 g - Hase NICHT AKTIVIEREN
53388	300428	300428.2 Omega Paw Roll'n Clean selbstreinigende Katzentoilette - Katzentoilettenvorleger XXL (L 60 x B 36 cm)
53392	3421	3421.1 Trixie Ohrenpflege - 2 x 50 ml
53395	227305	227305.11 Sparpaket Feline Porta 24 x 156 g - Mix Thunfisch & Huhn getreidefrei (4 Sorten)
53397	538972	538972.3 Sparpaket Catessy Häppchen in Gelee 48 x 405 g - mit Wild & Truthahn
53406	549476	549476.0 Hill's Prescription Diet Metabolic Treats Hundesnacks - 220 g
53447	135992	135992.2 Puppy KONG Goodie Bone - 2 Stück im Sparset
53448	490753	490753.0 Kuschelbett Leo - L 60 x B 50 x H 24 cm
53485	451660	451660.0 Kratzbaum Natural Paradise Chocolate III - braun
53492	307481	307481.7 Applaws Katzenfutter 1 x 70 g - Thunfischfilet & Garnele
53501	323868	323868.1 Sparpaket Terra Canis 12 x 200 g - Rind mit Karotte, Apfel und Naturreis
53510	140602	140602.4 Sparpaket Feline Porta 24 x 90 g - Hühnerfleisch mit Aloe (getreidefrei)
53511	515884	515884.2 Sparpaket catz finefood 12 x 800 g -  Wild
53527	591565	591565.2 Hunter Halsung Maui Vario Basic - grau - Gr. L: 40 - 60 cm Halsumfang
53532	140602	140602.6 Sparpaket Feline Porta 24 x 90 g - Thunfisch mit Seetang (getreidefrei)
53534	136298	136298.6 Drinkwell Platinum Trinkbrunnen, 5 Liter by PetSafe - Trinkbrunnen 5 Liter
53546	319493	319493.7 Sparpaket Kattovit 12 x 175 g - Gastro - Ente & Huhn
53555	450510	450510.0 Trixie Katzengeschirr XCat XL mit Sticker und Leine - schwarz
53559	558745	558745.4 Sparpaket Animonda Carny Adult 24 x 800 g - Mix Rind/Huhn, Multifleisch
53572	605141	605141.1 Megapack Whiskas 1+ Adult Frischebeutel 48 x 85 g / 100 g - Geflügelauswahl in Gelee
53587	1234	1234.0 Katzenklappe Cat Mate 210 für Glasscheiben - Katzenklappe weiß
53588	585238	585238.1 Herrmann's Bio Veggie Menü - 12 x 400 g
53593	560476	560476.3 Vitakraft Poesie 30 x 85 g - Lachs & Spinat in Gelee
53605	342825	342825.3 Applaws Adult Huhn Senior - 7,5 kg
53613	212979	212979.6 Royal Canin Energy Belohnungssnack - 10 x 50 g
53614	276995	276995.27 Sparpaket Sanabelle 2 x 10 kg - Adult mit frischem Geflügel
53633	602340	602340.2 4 + 4 gratis! 8 x 100 g GimDog Little Darling Fruity Menu - Paté mit Lamm und Waldfrüchten
53637	595539	595539.3 Barkoo testen: Dental Snacks oder Mini Bones für 0,99 € - Dental Snack: für große Hunde 7 St. (270 g)
53652	276995	276995.16 Sparpaket Sanabelle 2 x 10 kg - Adult mit Strauß
53662	403844	403844.0 Smilla Malt Katzenpaste - 200 g
53684	554599	554599.55 Schesir Katzenfutter Einzeldosen 1 x 70 g / 75 g / 85 g - in Gelee: 85 g Hühnerfilet mit Aloe - Kitten
53699	189516	189516.3 Porta 21 Holistic Katzenfutter 6 x 156 g - Thunfisch & Shrimps mit Gemüse, Früchten in Jelly
53706	324185	324185.2 Sparpaket Terra Canis Hypoallergen 12 x 400 g - Pferd mit Topinambur
53710	552455	552455.15 Sparpaket RINTI Sensible 12 x 400 g - Ross & Reis mit Entenherzen
53721	542709	542709.6 5 € Rabatt auf Briantos Protect + Care 14 kg - Senior/Light Weight & Care
53726	42152	42152.1 Carnello Hundekaugummi - 90 g 
53767	592552	592552.15 Sparset Feliway Classic + Feliway Kalender 2017 gratis! - Sparset Transportspray 20 ml + 1 Monats Nachfüllflakon 48 ml + Feliway Kalender 2017 
53827	443954	443954.6 Multipack Whiskas 1+ Adult Frischebeutel 12 x 85 g / 100 g - Fischauswahl in Gelee
53868	370102	370102.0 Sparpaket Perfect Fit Adult 2 x 2,8 kg - ++ Nicht freischalten++
53876	488567	488567.3 Rinti Nature´s Balance 1 x 400 g - mit Lamm, Reis & frischem Ei 
53892	457784	457784.0 Hill's Canine Ideal Balance Adult 1 x 363 g - mit Huhn & Gemüse
53901	569638	569638.0 Sparpaket Animonda vom Feinsten Kitten 72 x 100 g - mit Rind
53906	444093	444093.0 Feringa Adult Truthahn - 400 g
53910	98859	98859.0 Set Schermaschine Moser max45 (Type 1245) inklusive 2 Aufsteckkämme! - Moser max45 inkl. Scherkopf 3mm (ohne Aufsteckkämme)
53912	98859	98859.14 Set Schermaschine Moser max45 (Type 1245) inklusive 2 Aufsteckkämme! - Ersatzscherkopf 1 mm
53934	508951	508951.0 Sparpaket Concept for Life 2 x Großgebinde - All Cats (2 x 10 kg)
53942	605145	605145.5 Sparpaket 96 x 85 / 100 g Whiskas Frischebeutel - Adult 1+ Klassische Auswahl in Sauce (96 x 100 g )
53945	524692	524692.5 1 + 1 gratis! 2 x 400 g Concept for Life Katzentrockenfutter - Light
53951	460693	460693.5 Hill's Canine Ideal Balance Adult 12 x 363 g - mit Lamm & Gemüse
53958	434622	434622.0 Whiskas Fresh Menue 6 x 50 g -  Weissfisch, Thunfisch, Lachs in Sauce
54037	290093	290093.22 10 + 2 gratis! 12 x 85 g Schesir Katzenfutter - Thunfisch mit Seehecht
54038	398855	398855.1 Mixpaket Gourmet Gold 24 x 85 g - Feine Pastete Mix
54044	173449	173449.9 Whiskas 1+ Huhn - 7 kg
54054	497411	497411.2 Concept for Life Sterilised Cats - 10 kg
54069	490693	490693.2 proCani Rind Carnivor in Schale - 32 x 400 g
54077	557689	557689.1 Trixie Floh- und Zeckenband - Sparpaket: 3 x 35 cm für Katzen
54078	557813	557813.0 Trixie Floh- und Zeckenschutzband 35 cm - 1 Stück
54085	195783	195783.3 Hunter Halsband Ecco Sport Vario Basic, schwarz - Gr.L: 41 - 65 cm Halsumfang, B 25 mm
54093	139185	139185.1 Hundegeschirr soft - schwarz - Größe S: 29 - 44 cm Brustumfang
54094	518305	518305.1 FURminator deShedding Tool zum Sonderpreis: 20% Rabatt! - Langhaar M
54101	7648	7648.2 Hunter Hundehalsband Freestyle, schwarz - Größe 60: verstellbar bis max. 60 cm, Ø 10 mm
54111	580910	580910.3 1,5 / 2 kg Hill's Feline zum Sonderpreis - Adult Thunfisch
54118	515807	515807.0 Sparpaket MAC´s Cat 24 x 200 g - Kitten (Pute, Rind, Ente)
54121	369948	369948.11 5 + 1 gratis! 6 x 200 g catz finefood Dose - Huhn & Thunfisch
54122	457806	457806.1 Hill´s Feline Ideal Balance No Grain Huhn & Kartoffel - 2 x 2 kg
54131	572353	572353.0 Happy Cat Indoor Adult Mixpaket mit 3 Sorten - 3 x 4 kg Indoor (3 Sorten)
54144	351320	351320.2 catz finefood Probiermix 6 x 200 g - passende Dosendeckel (3er Set)
54147	372993	372993.20 Sparpaket Purina ONE 6 x 800 g - Senior 7+
54152	61419	61419.3 Thrive! Gefriergetrocknete Katzensnacks - Thunfisch 25 g
54155	369948	369948.6 5 + 1 gratis! 6 x 200 g catz finefood Dose - Huhn & Fasan
54166	70673	70673.4 Kattovit Urinary Trockenfutter mit Thunfisch - 4 kg
54174	602398	602398.8 400 g Kattovit Trockenfutter Spezialdiät zum Sonderpreis! - Low Calorie
54179	566134	566134.2 20 + 4 gratis! 24 x 85 g Gourmet Gold - Thunfisch
54209	106079	106079.2 Cookie´s Delikatess Hähnchen 200 g - 3 x 200 g Filet
54259	580910	580910.0 1,5 / 2 kg Hill's Feline zum Sonderpreis - Adult Huhn
54265	499443	499443.21 10 + 2 kg gratis! 12 kg Sanabelle - Adult mit Forelle
54296	47802	47802.1 Das hygienische Hundebett, granit - L 120 x B 100 cm
54302	592311	592311.0 Animonda Integra Protect Adult Niere Dose 24 x 200 g - Pute Pur
54303	592291	592291.1 Animonda Integra Protect Adult Diabetes Dose 24 x 200 g - mit Rind
54311	461713	461713.10 Applaws Katzenfutter in Jelly 6 x 70 g - Kitten Huhn (NICHT AKTIVIEREN)
54325	10646	10646.2 Beaphar Multi Vitamin Paste mit Taurin - Sparpaket 2 x 250 g
54326	462056	462056.1 Applaws Senior Huhn - 7,5 kg
54333	592311	592311.1 Animonda Integra Protect Adult Niere Dose 24 x 200 g - mit Huhn
54421	477970	477970.7 Sparpaket Terra Canis Getreidefrei 12 x 400 g - Kaninchen mit Zucchini, Aprikose und Borretsch
54425	383881	383881.4 Sparpaket Terra Canis 12 x 400 g - Wild mit Kürbis, Amaranth und Preiselbeeren
54429	585338	585338.7 12 kg Beneful Großgebinde + Snack gratis! - Glückliche Jahre 7+
54446	35611	35611.26 Rinti Extra Chicko - Lamm (2 x 170 g)
54450	602398	602398.7 400 g Kattovit Trockenfutter Spezialdiät zum Sonderpreis! - Gastro
54467	373707	373707.3 Sparpaket Almo Nature Bio Paté 12 x 100 g - mit Truthahn 
54470	439874	439874.0 KONG Wubba Weaves - Gr. S: ca. L 21 x B 6 x H 6 cm
54478	553622	553622.10 Probierpaket Royal Canin Yorkshire Terrier - 1,5 kg + 6 x 85 g NICHT AKTIVIEREN
54485	383881	383881.8 Sparpaket Terra Canis 12 x 400 g - Pute mit Naturreis
54510	540632	540632.1 Royal Canin Mother & Babycat Paket - Trockenfutter, Baby Cat Milk und Nassfutter
54516	516366	516366.2 Sparpaket Schesir Fruit 24 x 75 g - Hühnerfilet mit Apfel
54529	334639	334639.1 Hunter  Freestyle Set: Halsband + Hundeleine, schwarz - Halsband Größe max. 55 cm + Leine 200 cm
54532	557943	"557943.4 Sparpaket Felix Pouches 24 x 100 g - ""Sensations"" in Gelee (Fleischauswahl)"
54534	557943	"557943.5 Sparpaket Felix Pouches 24 x 100 g - ""Sensations"" in Gelee (Fischauswahl)"
54535	508403	508403.2 Royal Canin Adult Skin & Coat - Vet Care Nutrition - 48 x 100 g
